Intersul (A)
175 314 Central - Recreio dos Band. (via Copacabana/Av. das Américas) | BRS3
175 315 Central - Recreio dos Bandeirantes (via Linha Amarela) |
179 309 Central - Alvorada (via Botafogo/Av. Sernambetiba) | BRS3
179 316 Central - Recreio (via Botafogo/Av. Sernambetiba) | BRS3
179 317 Central - Alvorada (via Túnel Santa Bárbara) | C
179 955 Maré - Alvorada (via Linha Amarela) |
225 345 Praça Mauá - Barra da Tijuca (via Furnas) | BRS5
233 302 Rodoviária - Recreio dos Bandeirantes (via Av. Sernambetiba) |
233 303 Rodoviária - Barra da Tijuca (via Linha Amarela) | C
233 333 Rodoviária - Barra da Tijuca (via Av. Sernambetiba) |
233 2330 Rodoviária - Barra da Tijuca (via Linha Amarela) | C
234 301 Rodoviária - Barra da Tijuca (via Avenida das Américas) |
234 304 Rodoviária - Recreio dos Bandeirantes (via Av. das Américas) |
234 305 Rodoviária - Barra da Tijuca (via Túnel Rebouças) |
240 337 Praça XV - Curicica (via Linha Amarela) | BRS5
240 340 Praça XV - Curicica (via Cidade de Deus/Avenida Menezes Cortes) | BRS5
240 611 Del Castilho - Curicica (via Linha Amarela) |
241 338 Praça Mauá - Taquara (via Linha Amarela) | BRS5
241 341 Praça Mauá - Taquara | BRS5
241 sP341 Freguesia - Praça Mauá |
260 363 Praça XV - Vila Valqueire | BRS5
260 sV363 Praça XV - Vila Valqueire (via Dias da Cruz) |
266 339 Rodoviária - Cidade de Deus (via Linha Amarela) |
266 353 Rodoviária - Cidade de Deus |
267 343 Praça XV - Joatinga (via Linha Amarela) | BRS5
267 346 Praça XV - Gardênia Azul |
268 347 Castelo - Largo dos Piabas |
268 348 Castelo - Rio Centro (via Linha Amarela) | BRS5
268 352 Castelo - Rio Centro (via Autódromo e Linha Amarela) | BRS5
268 368 Castelo - Rio Centro | BRS5
268 613 Del Castilho - Rio Centro (via Autódromo e Linha Amarela) |
269 380 Praça XV - Curicica (via Linha Amarela/Estrada do Pau Ferro) | BRS5
269 390 Praça XV - Curicica (via Guerengue) |
269 sV390 Praça XV - Curicica (via Estrada do Pau Ferro) |
269 800 Curicica - Freguesia | C
284 371 Praça da República - Praça Seca | BRS5
382 382 Carioca - Piabas (via Av. Benvindo de Novaes) | BRS3
557 557 Rio das Pedras - Copacabana | C BRS3
600 600 Praça Saens Peña - Taquara (via Cid. de Deus e Av. Menezes Cortes) |
600 815 Taquara - Hospital Cardoso Fontes (via Cidade de Deus) | C
601 601 Praça Saens Peña - Taquara (via Av. Menezes Cortes) |
601 816 Taquara - Hospital Cardoso Fontes (via Tanque) | C
607 607 Cascadura - Rio Comprido (via Estácio) | C
636 636 Praça Saens Peña - Gardênia Azul |
636 829 Gardênia Azul - Freguesia | C
651 651 Méier - Cascadura (via Arquias Cordeiro) | C
652 652 Méier - Cascadura (via Lins) | C
667 667 Madureira - Méier | C
678 678 Méier - Vila Valqueire |
686 686 Fazenda da Bica - Madureira | C
690 690 Méier - Alvorada (via Av. D. Hélder Câmara) |
690 692 Méier - Alvorada (via Av. D. Hélder Câmara/Linha Amarela) |
691 691 Méier - Alvorada (via Taquara/Linha Amarela) |
691 693 Méier - Alvorada (via R. Dias da Cruz/Linha Amarela) |
701 700 Madureira - Ponte de Marapendi | C
701 701 Madureira - Alvorada |
702 817 Vargem Grande - Recreio (via Av. Gláucio Gil/Rio Morto) | C
702 880 Rio das Pedras - Recreio (via Ayrton Senna) |
703 818 Joatinga - Recreio dos Band. (via Av. das Américas) | C
703 823 Recreio - Vargem Grande (via Rio Morto) | C
704 844 Barra Shopping - Barrinha | C
705 805 Alvorada - Jardim Oceânico | C
706 806 Boiuna - Barra da Tijuca (via Autódromo) | C
706 831 Colônia - Joatinga (via Barra Sul) |
706 sE831 Rio Centro - Alvorada | C
707 826 Joatinga - Vargem Grande | C
707 827 Vargem Grande - Recreio (via Av. Benvindo de Novaes/Av. Gláucio Gil) | C
708 808 Colônia - Joatinga (via Barra Sul) |
708 832 Colônia - Joatinga (via Autódromo) |
708 sE832 Rio Centro - Alvorada | C
710 809 Recreio - Rio das Pedras (via Praia) |
712 709 Cascadura - Amarelinho | C
712 712 Cascadura - Irajá | C
721 721 Cascadura - Vila Cruzeiro |
723 723 Cascadura - Mariópolis |
729 859 Covanca - Largo do Tanque | C
732 732 Gardênia Azul - Cascadura | C
733 733 Cascadura - Barra (via Cidade de Deus) | C
734 734 Rio das Pedras - Madureira | C
734 860 Rio das Pedras - Freguesia | C
736 736 Cascadura - Riocentro | C
737 861 Rio das Pedras - Curicica (via Cidade de Deus) |
740 856 Curicica - Taquara | C
747 747 Vargem Grande - Madureira | C
748 748 Cascadura - Barra da Tijuca (via Estr. de Jacarepaguá) | C
748 sV748 Cascadura - Barra da Tijuca (via Canal) | C
749 749 Cascadura - Recreio (via Vargem Grande) |
750 354 Cidade de Deus - Praça XV | BRS3
750 550 Cidade de Deus - Gávea |
750 555 Rio das Pedras - Gávea |
751 862 Rio das Pedras - Barra da Tijuca (via Estr. de Jacarepaguá) | C
752 863 Rio das Pedras - Barra da Tijuca (via Av. Ayrton Senna) | C
753 753 Cascadura - Recreio (via Av. Ayrton Senna) | C
753 765 Cascadura - Barra da Tijuca (via Av. Ayrton Senna) | C
754 888 Sulacap - Barra da Tijuca (via Av. Ayrton Senna) |
754 889 Sulacap - Alvorada (via Novo Leblon) | C
755 465 Cascadura - Gávea (via Av. Ayrton Senna) |
755 sP465 Cascadura - Barra da Tijuca |
755 875 Praça Seca - Chacara | C
